Model	Vehicle	Riparian	Proximity	Barrier	Attraction
384	LB	Distbuffer	Low	Por	None
385	LT	Adjacent	High	Por	None
386	ST	Adjacent	High	Por	None
387	MB	Adjacent	High	Por	None
388	LB	Adjacent	High	Por	None
389	LT	Topbuffer	High	Por	None
390	ST	Topbuffer	High	Por	None
391	MB	Topbuffer	High	Por	None
392	LB	Topbuffer	High	Por	None
393	LT	Distbuffer	High	Por	None
394	ST	Distbuffer	High	Por	None
395	MB	Distbuffer	High	Por	None
396	LB	Distbuffer	High	Por	None
397	LT	Adjacent	None	Abs	None
398	ST	Adjacent	None	Abs	None
399	MB	Adjacent	None	Abs	None
400	LB	Adjacent	None	Abs	None
401	LT	Topbuffer	None	Abs	None
402	ST	Topbuffer	None	Abs	None
403	MB	Topbuffer	None	Abs	None
404	LB	Topbuffer	None	Abs	None
405	LT	Distbuffer	None	Abs	None
406	ST	Distbuffer	None	Abs	None
407	MB	Distbuffer	None	Abs	None
408	LB	Distbuffer	None	Abs	None
409	LT	Adjacent	Low	Abs	None
410	ST	Adjacent	Low	Abs	None
411	MB	Adjacent	Low	Abs	None
412	LB	Adjacent	Low	Abs	None
413	LT	Topbuffer	Low	Abs	None
414	ST	Topbuffer	Low	Abs	None
415	MB	Topbuffer	Low	Abs	None
416	LB	Topbuffer	Low	Abs	None
417	LT	Distbuffer	Low	Abs	None
418	ST	Distbuffer	Low	Abs	None
419	MB	Distbuffer	Low	Abs	None
420	LB	Distbuffer	Low	Abs	None
421	LT	Adjacent	High	Abs	None
422	ST	Adjacent	High	Abs	None
423	MB	Adjacent	High	Abs	None
424	LB	Adjacent	High	Abs	None
425	LT	Topbuffer	High	Abs	None
426	ST	Topbuffer	High	Abs	None
427	MB	Topbuffer	High	Abs	None
428	LB	Topbuffer	High	Abs	None
429	LT	Distbuffer	High	Abs	None
430	ST	Distbuffer	High	Abs	None
431	MB	Distbuffer	High	Abs	None
432	LB	Distbuffer	High	Abs	None
